id_autora;jmeno;prijmeni
1;Alexander; Puškin
2;Alexandre; Dumas
3;Amos; Oz
4;Anthony; McCarten
5;Bernard; Cornwell
6;Boris; Pasternak
7;Cassandra; Clare
8;David; Lagercrantz
9;David; Mitchell
10;Dmitry; Glukhovsky
11;Eduard; Bass
12;Erich Maria;Remarque
13;Heinrich; Harrer
14;Hjalmar; Söderberg
15;Charles; Dickens
16;J.R.R.; Tolkien
17;Jack; London
18;Jaroslav; Hašek
19;Jean; Giono
20;Jeffery; Deaver
21;Jenny; Downham
22;John; Connolly
23;Jonas; Jonasson
24;José; Saramago
25;Joseph; Conrad
26;Kathryn; Stockett
27;Ken; Follett
28;Lev; Tolstoj
29;Markus; Zusak
30;Martin; Mejstøík
31;Michail; Bulgakov
32;Paulo; Coelho
33;Raymond; Moody
34;Rick; Riordan
35;Sara; Gruen
36;Sarah; J. Maas
37;Simon; Mawer
38;Steve; Berry
39;Suzanne; Collins
40;Tess; Gerritsen
